lam,esp_10mev,esp_50mev,esp_100mev,esp_190mev,edp_10mev,edp_50mev,edp_100mev,edp_190mev
22.6,-3.9719576539928765,0.2001205808504844,2.8290635297745377,4.256882133943234,4.9357348777421715,21.809220394529465,30.116595788553287,34.77362060631506
22.7,-3.971951537103021,0.2001712675279681,2.829147802451515,4.257003093837428,4.935734529074499,21.809211026583505,30.11657442740746,34.77358091293533
22.8,-3.971946439546265,0.20021438902186178,2.8292190662164933,4.257103649285082,4.9357342652022185,21.809203112264335,30.116556295733055,34.77354728248824
22.9,-3.971942309612432,0.20025045744347406,2.8292782095019,4.257185189679624,4.935734081444633,21.80919655279841,30.11654117368095,34.77351930750145
23.0,-3.9719390977129265,0.20027997038229678,2.82932609595968,4.2572490658178,4.935733973260863,21.809191252267876,30.116528847896475,34.773496592495796
23.1,-3.9719367560558867,0.20030341110038455,2.8293635645663993,4.257296589929522,4.935733936344988,21.80918711766924,30.11651911131185,34.77347875357516
23.2,-3.9719352392339453,0.20032124802966306,2.8293914292090303,4.257329035326252,4.935733966554044,21.80918405896525,30.116511763264686,34.77346541874937
23.3,-3.971934503324539,0.2003339354600456,2.829410479214196,4.257347636816199,4.9357340599328055,21.809181988941777,30.11650660948302,34.7734562275784
23.4,-3.971934506567906,0.20034191300354873,2.829421478937071,4.2573535904142386,4.935734212678814,21.809180823348697,30.116503461984006,34.77345083152911
23.5,-3.9719352089295725,0.2003456059538256,2.829425168065883,4.257348053634267,4.935734421242467,21.809180480725022,30.11650213900107,34.77344889337019
23.6,-3.9719365720153363,0.20034542538467132,2.8294222617519598,4.2573321456593485,4.9357346820769505,21.809180882462357,30.116502465020957,34.7734500874952
23.7,-3.971938558986005,0.20034176826706693,2.829413450754936,4.257306947556952,4.935734991970251,21.809181952709945,30.11650427065144,34.77345409965003
23.8,-3.9719411348114892,0.20033501732906883,2.829399401408275,4.257273502370916,4.935735347739157,21.809183618435316,30.1165073927666,34.77346062702054
23.9,-3.9719442657471125,0.20032554154729842,2.8293807561049875,4.257232815628271,4.935735746400477,21.809185809343457,30.116511674064803,34.77346937771365
24.0,-3.9719479197952867,0.20031369587352033,2.8293581331535194,4.2571858554088,4.935736185082556,21.80918845777777,30.116516963408912,34.77348007115446
24.1,-3.971952066321586,0.20029982164026228,2.829332127255243,4.257133552857888,4.9357366610667475,21.809191498879276,30.116523115505444,34.77349243751739
24.2,-3.9719566757574385,0.20028424691203983,2.8293033098760785,4.257076802689609,4.935737171765516,21.80919487025695,30.116529990863768,34.77350621788385
24.3,-3.9719617200973847,0.20026728621885465,2.8292722291798227,4.257016463339932,4.935737714677912,21.8091985122296,30.116537455811397,34.77352116389909
24.4,-3.9719671726935086,0.2002492408557613,2.829239410425125,4.256953357486725,4.935738287481673,21.809202367643326,30.11654538233568,34.77353703773421
24.5,-3.9719730078319038,0.20023039936559667,2.8292053564909976,4.2568882727026205,4.935738887926926,21.809206381858598,30.11655364797603,34.77355361190357
24.6,-3.971979201295623,0.2002110372509367,2.829170547816224,4.2568219616584475,4.935739513898568,21.80921050266877,30.116562135823585,34.77357066905829
24.7,-3.971985729595128,0.20019141774744004,2.8291354431961957,4.2567551429923665,4.935740163348199,21.809214680335508,30.116570734303245,34.77358800182542
