lam,c0
33.8,0.1664686552
33.9,0.1677116975
34.0,0.1689993224
34.1,0.1703340747
34.2,0.1717186901
34.3,0.1731562145
34.4,0.174649749
34.5,0.1762027329
34.6,0.1778188158
34.7,0.1795019107
34.8,0.1812563243
34.9,0.1830865759
35.0,0.1849976389
35.1,0.1869948849
35.2,0.189084144
35.3,0.1912717578
35.4,0.1935646379
35.5,0.1959703327
35.6,0.1984971027
35.7,0.2011540086
35.8,0.2039510619
35.9,0.2068991799
36.0,0.2100105299
36.1,0.2132985562
36.2,0.2167781978
36.3,0.2204661014
36.4,0.2243808728
36.5,0.2285433756
36.6,0.2329770863
36.7,0.2377085179
36.8,0.2427677288
36.9,0.2481889372
37.0,0.2540112691
37.1,0.2602796583
37.2,0.2670460503
37.3,0.2743706177
37.4,0.282323738
37.5,0.2909880266
37.6,0.300461347
37.7,0.3108600728
37.8,0.3223243135
37.9,0.3350236879
38.0,0.3491659774
38.1,0.3650081999
38.2,0.382872266
38.3,0.4031668078
38.4,0.4264184756
38.5,0.4533179359
38.6,0.4847890161
38.7,0.5220962396
38.8,0.5670178208
38.9,0.6221360079
39.0,0.6913494489
39.1,0.7808345927
39.2,0.9009937202
39.3,1.0708148964
39.4,1.3290329268
39.5,1.7688179239
39.6,2.6851923066
39.7,5.7675869186
39.8,-31.2619106217
39.9,-4.0990501017
40.0,-2.1607372908
40.1,-1.4517680103
40.2,-1.0842512437
40.3,-0.85942512
40.4,-0.7077260887
40.5,-0.5984871217
40.6,-0.5160856837
40.7,-0.4517259155
40.8,-0.4000771437
40.9,-0.3577203397
41.0,-0.3223617459
41.1,-0.2924051271
41.2,-0.2667053576
41.3,-0.2444195808
41.4,-0.2249136327
41.5,-0.2077012434
41.6,-0.1924032733
41.7,-0.1787197622
41.8,-0.16641028
41.9,-0.1552798606
42.0,-0.1451687485
42.1,-0.135944743
42.2,-0.1274976181
42.3,-0.119734552
42.4,-0.1125770279
42.5,-0.1059580973
42.6,-0.0998202235
42.7,-0.0941138438
42.8,-0.0887959178
42.9,-0.0838290096
43.0,-0.0791802516
43.1,-0.0748207888
43.2,-0.070725135
43.3,-0.066870702
43.4,-0.0632374281
43.5,-0.059807326
43.6,-0.0565643934
43.7,-0.0534942188
43.8,-0.0505838273
43.9,-0.0478214966
44.0,-0.045196654
44.1,-0.0426996562
44.2,-0.0403217569
44.3,-0.0380549928
44.4,-0.0358920798
44.5,-0.0338263673
44.6,-0.0318517076
44.7,-0.0299625257
44.8,-0.0281536397
44.9,-0.026420302
45.0,-0.0247581156
45.1,-0.0231629841
45.2,-0.0216311808
45.3,-0.0201592015
45.4,-0.0187437924
45.5,-0.0173819677
45.6,-0.0160708932
45.7,-0.0148079844
45.8,-0.0135907234
45.9,-0.0124169017
46.0,-0.0112843682
46.1,-0.010191093
46.2,-0.0091352288
46.3,-0.0081150123
46.4,-0.0071287736
46.5,-0.0061749697
46.6,-0.0052521472
46.7,-0.004358906
46.8,-0.0034939687
46.9,-0.0026560808
47.0,-0.0018441057
47.1,-0.0010569511
47.2,-0.0002935717
47.3,0.0004470144
47.4,0.0011657187
47.5,0.0018634321
47.6,0.0025410203
47.7,0.0031991993
47.8,0.003838785
47.9,0.0044604733
48.0,0.0050649439
48.1,0.0056528436
48.2,0.0062247885
48.3,0.0067813653
48.4,0.0073231335
48.5,0.0078506266
48.6,0.0083643542
48.7,0.0088648029
48.8,0.0093524381
48.9,0.0098276551
49.0,0.0102909711
49.1,0.0107427286
49.2,0.0111833296
49.3,0.0116131455
49.4,0.0120325319
49.5,0.0124418298
49.6,0.0128413658
49.7,0.0132314531
49.8,0.0136123922
49.9,0.0139844713
50.0,0.014347967
50.1,0.0147031447
50.2,0.0150503096
50.3,0.0153896077
50.4,0.0157213421
50.5,0.0160457261
50.6,0.0163629784
50.7,0.0166733097
50.8,0.0169769226
50.9,0.0172740123
51.0,0.0175647903
51.1,0.0178493468
51.2,0.0181279732
51.3,0.0184007883
51.4,0.0186679546
51.5,0.0189296292
51.6,0.0191859634
51.7,0.0194371036
51.8,0.0196831908
51.9,0.0199243615
52.0,0.0201607473
