lam,d0_10,d0_50,d0_100,d0_190
13.6,-2.9402056267735017,-8.62945273650105,-10.810182432724336,-12.01826333853061
13.7,-2.9402053027761546,-8.629452579545813,-10.810191466493063,-12.01832008258518
13.8,-2.940204990063916,-8.629452424184924,-10.810200163627233,-12.018374753855209
13.9,-2.9402046881686803,-8.629452270520973,-10.810208539048931,-12.01842744252704
14.0,-2.9402043966448272,-8.629452118643096,-10.810216606915242,-12.018478234242554
14.1,-2.9402041150679943,-8.629451968628194,-10.81022438066248,-12.01852721035898
14.2,-2.940203843033921,-8.629451820542057,-10.810231873047822,-12.018574448192126
14.3,-2.9402035801573767,-8.62945167444039,-10.810239096188514,-12.018620021244155
14.4,-2.9402033260711384,-8.62945153036973,-10.810246061597727,-12.018663999417061
14.5,-2.9402030804250394,-8.629451388368299,-10.810252780219084,-12.018706449212779
14.6,-2.9402028428850695,-8.629451248466799,-10.810259262458391,-12.018747433920861
14.7,-2.9402026131325303,-8.629451110689113,-10.810265518213928,-12.018787013794574
14.8,-2.9402023908632318,-8.629450975052947,-10.810271556903997,-12.018825246216256
14.9,-2.940202175786756,-8.62945084157044,-10.810277387493779,-12.018862185852548
15.0,-2.940201967625733,-8.629450710248692,-10.810283018519945,-12.01889788480027
15.1,-2.940201766115194,-8.62945058109027,-10.810288458113597,-12.018932392723602
15.2,-2.940201571001925,-8.629450454093668,-10.810293714022487,-12.018965756982967
15.3,-2.940201382043888,-8.629450329253707,-10.810298793631398,-12.01899802275639
15.4,-2.940201199009652,-8.629450206561918,-10.81030370398129,-12.01902923315365
15.5,-2.9402010216778685,-8.629450086006905,-10.81030845178764,-12.019059429323768
15.6,-2.940200849836777,-8.629449967574642,-10.81031304345736,-12.019088650556283
15.7,-2.9402006832837273,-8.629449851248769,-10.810317485105017,-12.019116934376633
15.8,-2.94020052182474,-8.629449737010864,-10.810321782567852,-12.019144316636126
15.9,-2.9402003652740736,-8.629449624840657,-10.810325941420304,-12.019170831596709
16.0,-2.9402002134538536,-8.629449514716283,-10.810329966986796,-12.019196512011025
16.1,-2.9402000661936576,-8.629449406614484,-10.81033386435532,-12.019221389197869
16.2,-2.9401999233301908,-8.629449300510748,-10.810337638388694,-12.019245493113502
16.3,-2.940199784706938,-8.629449196379525,-10.810341293736245,-12.01926885241898
16.4,-2.940199650173835,-8.629449094194353,-10.810344834844125,-12.019291494543726
16.5,-2.940199519586983,-8.629448993928003,-10.810348265965622,-12.019313445745675
16.6,-2.940199392808345,-8.629448895552601,-10.810351591170724,-12.019334731168078
16.7,-2.940199269705484,-8.629448799039759,-10.810354814354634,-12.019355374893252
16.8,-2.940199150151307,-8.629448704360644,-10.810357939246913,-12.019375399993441
16.9,-2.94019903402381,-8.629448611486106,-10.81036096941903,-12.01939482857895
17.0,-2.940198921205858,-8.629448520386758,-10.81036390829212,-12.01941368184367
17.1,-2.940198811584954,-8.629448431033035,-10.810366759144133,-12.019431980108289
17.2,-2.9401987050530396,-8.629448343395289,-10.810369525116759,-12.019449742861061
17.3,-2.940198601506288,-8.629448257443812,-10.810372209221606,-12.019466988796676
17.4,-2.940198500844922,-8.62944817314895,-10.810374814346527,-12.019483735852864
17.5,-2.9401984029730315,-8.6294480904811,-10.810377343261287,-12.01950000124529
17.6,-2.9401983077983997,-8.629448009410803,-10.810379798623135,-12.019515801500537
17.7,-2.9401982152323574,-8.629447929908732,-10.810382182981986,-12.019531152487454
